neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,desc_word_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,log_price
Russian Hill,37.80076652425145,-122.41456643124047,Private room,2,4,5.0,t,3,335,23,78,0.5,0.5,0.5,5.087596335232384
Outer Sunset,37.76086305497667,-122.478082956456,Entire home/apt,4,0,0.0,f,6,91,47,77,0.5,0.25,0.5,4.882801922586371
Western Addition,37.77401,-122.43051,Private room,1,181,4.91,t,8,202,44,75,1.0,1.0,1.0,4.343805421853684
Mission,37.75553,-122.41424,Entire home/apt,6,210,4.97,t,16,132,49,66,0.5,0.25,0.5,6.152732694704104
Pacific Heights,37.78855,-122.44154,Private room,4,132,4.97,t,6,241,40,163,0.5,0.25,0.5,5.480638923341991
Downtown/Civic Center,37.77876,-122.42225,Entire home/apt,2,2,5.0,t,21,218,34,54,0.0,0.0,0.5,5.099866427824199
Haight Ashbury,37.77453,-122.44096,Entire home/apt,10,1,5.0,f,0,240,31,69,0.5,0.2,0.5,6.20455776256869
Visitacion Valley,37.712,-122.39997,Entire home/apt,2,32,4.72,f,27,57,39,37,0.5,0.5,0.5,4.23410650459726
Bernal Heights,37.74403,-122.41755,Private room,2,319,4.98,t,2,129,45,74,1.0,0.5,1.0,4.430816798843313
Noe Valley,37.7476,-122.43197,Entire home/apt,4,183,4.97,t,5,52,56,65,0.5,0.25,0.5,5.877735781779639
Ocean View,37.7194221,-122.4589093,Entire home/apt,4,2,4.0,f,0,89,27,21,0.5,0.25,0.5,4.605170185988092
Mission,37.76818854057132,-122.41864413747828,Entire home/apt,2,2,4.5,t,0,201,24,76,0.5,0.5,0.5,4.90527477843843
Inner Sunset,37.7548,-122.4591,Entire home/apt,4,456,4.86,t,7,269,32,47,0.0,0.25,0.75,4.5217885770490405
Bayview,37.7355,-122.38807,Private room,1,18,4.0,f,4,212,18,79,1.0,2.0,1.0,3.7612001156935624
Mission,37.75591,-122.41838,Private room,1,21,5.0,t,13,195,57,82,1.0,1.0,1.0,4.736198448394496
Russian Hill,37.80219,-122.4158,Entire home/apt,2,0,0.0,f,29,178,28,50,0.5,0.5,1.0,4.875197323201151
Ocean View,37.71597,-122.45397,Entire home/apt,4,27,4.65,f,0,240,17,72,0.5,0.375,0.5,5.278114659230517
Haight Ashbury,37.76732,-122.44858,Entire home/apt,8,78,4.91,t,7,310,49,155,0.375,0.1875,0.5,5.541263545158426
Mission,37.74866,-122.42346,Entire home/apt,2,6,4.67,f,8,336,18,22,0.5,0.5,0.5,5.062595033026967
Inner Sunset,37.75868,-122.46985,Entire home/apt,2,510,4.98,t,0,36,63,60,0.0,0.5,0.5,5.043425116919247
North Beach,37.80345,-122.41221,Entire home/apt,4,0,0.0,f,4,325,36,42,0.5,0.25,0.5,5.752572638825633
Inner Richmond,37.781926,-122.471538,Entire home/apt,8,8,4.75,f,30,269,73,77,0.0,0.375,0.125,5.749392985908253
Downtown/Civic Center,37.7787601,-122.4222545,Private room,2,1,4.0,f,8,112,31,76,0.5,0.5,0.5,5.429345628954441
Financial District,37.79543,-122.40136,Entire home/apt,2,0,0.0,f,28,363,42,71,0.5,0.5,0.5,6.60934924316738
Bernal Heights,37.74707,-122.40607,Entire home/apt,3,275,4.89,f,12,328,16,37,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.90527477843843
Russian Hill,37.80223,-122.4172,Entire home/apt,3,0,0.0,f,29,179,20,74,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.4457198193855785
Marina,37.8011,-122.43895,Entire home/apt,2,0,0.0,f,0,209,11,50,0.5,0.5,0.5,4.68213122712422
Western Addition,37.78408304396888,-122.42666785800412,Entire home/apt,6,0,0.0,t,12,275,54,77,0.5,0.3333333333333333,0.5,5.365976015021851
Castro/Upper Market,37.76249,-122.42926,Entire home/apt,2,273,4.98,t,9,145,28,88,0.5,0.5,1.0,5.017279836814924
Chinatown,37.79104,-122.40702,Entire home/apt,2,2,5.0,t,0,4,11,69,0.0,0.5,0.5,4.844187086458591
