neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,geo_cluster,log_price
Mission,37.75783,-122.41063,Private room,1,67,4.82,f,1,336,48,1.0,1.0,1.0,20,4.248495242049359
Western Addition,37.77201,-122.4297,Private room,1,27,5.0,t,18,353,42,1.0,1.0,1.0,6,4.499809670330265
Presidio Heights,37.78146,-122.45619,Entire home/apt,2,254,4.81,f,15,165,22,0.5,0.5,1.0,24,4.31748811353631
Mission,37.75121,-122.40993,Private room,1,121,4.54,f,0,332,44,1.0,1.0,1.0,20,3.6888794541139363
Haight Ashbury,37.76646,-122.44425,Entire home/apt,2,480,4.72,t,17,338,29,0.5,0.5,0.5,21,4.812184355372417
Bernal Heights,37.74131,-122.41179,Entire home/apt,5,587,4.84,t,0,225,46,0.0,0.2,0.4,2,4.820281565605037
Pacific Heights,37.79395,-122.42609,Entire home/apt,2,35,4.81,t,0,219,34,0.5,0.5,0.5,10,4.74493212836325
Mission,37.75686,-122.41019,Entire home/apt,3,39,4.77,f,1,260,46,0.3333333333333333,0.3333333333333333,1.0,20,4.770684624465665
Inner Richmond,37.7835,-122.47445,Private room,2,256,4.95,f,12,300,22,0.5,0.5,0.5,15,5.2832037287379885
Castro/Upper Market,37.758919,-122.434776,Private room,1,206,4.91,t,8,308,52,1.0,1.5,1.0,21,4.442651256490317
Castro/Upper Market,37.75891876220703,-122.43477630615234,Private room,1,31,4.86,t,2,300,51,1.0,1.5,1.0,21,4.406719247264253
Outer Sunset,37.7587,-122.5088,Entire home/apt,5,170,4.98,t,2,104,57,0.4,0.4,0.8,17,5.680172609017068
Parkside,37.74033,-122.47144,Entire home/apt,2,453,4.84,f,25,359,28,0.5,0.25,0.5,22,5.075173815233827
Russian Hill,37.80109,-122.41385,Entire home/apt,10,103,4.61,f,15,245,58,0.3,0.25,0.4,18,6.023447592961033
Excelsior,37.72369,-122.42865,Private room,4,165,4.92,t,14,111,68,0.5,0.25,0.5,12,4.442651256490317
Potrero Hill,37.75512313842773,-122.3990478515625,Entire home/apt,5,41,4.44,f,7,266,58,0.6,0.4,0.8,7,5.459585514144159
Mission,37.75884,-122.42232,Entire home/apt,2,207,4.78,t,0,239,30,0.5,0.5,0.5,9,4.867534450455582
Outer Richmond,37.77988,-122.48488,Entire home/apt,4,274,4.7,t,5,325,35,0.25,0.25,0.5,15,4.976733742420574
Bayview,37.73852,-122.39215,Private room,1,11,4.82,f,28,88,30,1.0,1.5,1.0,14,4.465908118654584
Bernal Heights,37.73466,-122.41694,Entire home/apt,8,28,4.93,f,3,159,56,0.5,0.3125,0.75,2,6.003887067106539
Castro/Upper Market,37.75714,-122.43419,Entire home/apt,2,9,4.78,t,0,330,44,0.5,0.5,0.5,13,4.941642422609304
Noe Valley,37.74402,-122.43729,Entire home/apt,2,249,4.91,t,2,26,40,0.5,0.5,0.5,13,4.736198448394496
